tid,title,Header,concept1,concept2,Proposed _relation_c1,Proposed_objects_c1,Proposed_relation_c2,Proposed_objects_c2
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Desmoglein-1,"IgG, C3 intercellular (epidermal)",Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",IgG,"IgG, C3 intercellular (epidermal)",Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Site of blisters""]",Bullous pemphigoid,"Trunk, flexures and limbs",Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]",Bullous pemphigoid,"Tense, milia as blisters resolve",Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]",Bullous pemphigoid,Occasional,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Bullous pemphigoid,BP-230 and 180,Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Bullous pemphigoid,IgG (70%),Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Bullous pemphigoid,"IgG, C3 at BMZ",Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]","Trunk, flexures and limbs","Tense, milia as blisters resolve",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]","Trunk, flexures and limbs",Occasional,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]","Trunk, flexures and limbs",BP-230 and 180,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]","Trunk, flexures and limbs",IgG (70%),Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]","Trunk, flexures and limbs","IgG, C3 at BMZ",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]","Tense, milia as blisters resolve",Occasional,Has time,qualifiers/symptoms/clinical findings,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]","Tense, milia as blisters resolve",BP-230 and 180,Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]","Tense, milia as blisters resolve",IgG (70%),Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]","Tense, milia as blisters resolve","IgG, C3 at BMZ",Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Occasional,BP-230 and 180,Has time,qualifiers/symptoms/clinical findings,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Occasional,IgG (70%),Has time,qualifiers/symptoms/clinical findings,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Occasional,"IgG, C3 at BMZ",Has time,qualifiers/symptoms/clinical findings,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",BP-230 and 180,IgG (70%),Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",BP-230 and 180,"IgG, C3 at BMZ",Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",IgG (70%),"IgG, C3 at BMZ",Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Site of blisters""]",Dermatitis herpetiformis,"Elbows, lower back, buttocks",Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]",Dermatitis herpetiformis,Excoriated and often not present,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]",Dermatitis herpetiformis,No,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Dermatitis herpetiformis,Unknown,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Dermatitis herpetiformis,Anti-endomysial and tissue transglutaminase,Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Dermatitis herpetiformis,Granular IgA in papillary dermis,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]","Elbows, lower back, buttocks",Excoriated and often not present,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]","Elbows, lower back, buttocks",No,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]","Elbows, lower back, buttocks",Unknown,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has cause,symptoms/clinical findings/disease/organism
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]","Elbows, lower back, buttocks",Anti-endomysial and tissue transglutaminase,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]","Elbows, lower back, buttocks",Granular IgA in papillary dermis,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]",Excoriated and often not present,No,Has clinical finding,clinical finding/symptoms/disease,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Excoriated and often not present,Unknown,Has clinical finding,clinical finding/symptoms/disease,Has cause,symptoms/clinical findings/disease/organism
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Excoriated and often not present,Anti-endomysial and tissue transglutaminase,Has clinical finding,clinical finding/symptoms/disease,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Excoriated and often not present,Granular IgA in papillary dermis,Has clinical finding,clinical finding/symptoms/disease,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Unknown,Anti-endomysial and tissue transglutaminase,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Unknown,Granular IgA in papillary dermis,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Anti-endomysial and tissue transglutaminase,Granular IgA in papillary dermis,Has positive lab values,substances/proteins/clinical finding/symptoms,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Site of blisters""]",Linear IgA disease,Widespread,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]",Linear IgA disease,"Tense, often annular configuration, ‘string of beads’",Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]",Linear IgA disease,Frequent,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Linear IgA disease,Unknown,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Linear IgA disease,50% have low titres of circulating antibody,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Linear IgA disease,Linear IgA at BMZ,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]",Widespread,"Tense, often annular configuration, ‘string of beads’",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]",Widespread,Frequent,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Widespread,Unknown,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has cause,symptoms/clinical findings/disease/organism
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Widespread,50% have low titres of circulating antibody,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Widespread,Linear IgA at BMZ,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]","Tense, often annular configuration, ‘string of beads’",Frequent,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]","Tense, often annular configuration, ‘string of beads’",Unknown,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has cause,symptoms/clinical findings/disease/organism
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]","Tense, often annular configuration, ‘string of beads’",50% have low titres of circulating antibody,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]","Tense, often annular configuration, ‘string of beads’",Linear IgA at BMZ,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Frequent,Unknown,Has time,qualifiers/symptoms/clinical findings,Has cause,symptoms/clinical findings/disease/organism
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Frequent,50% have low titres of circulating antibody,Has time,qualifiers/symptoms/clinical findings,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Frequent,Linear IgA at BMZ,Has time,qualifiers/symptoms/clinical findings,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Unknown,50% have low titres of circulating antibody,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Unknown,Linear IgA at BMZ,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",50% have low titres of circulating antibody,Linear IgA at BMZ,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Site of blisters""]",Pemphigoid gestationis,Periumbilical and limbs,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]",Pemphigoid gestationis,"Tense, milia as blisters resolve",Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]",Pemphigoid gestationis,Rare,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Pemphigoid gestationis,"Collagen XVII (part of hemi-desmosome, BP-180)",Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Pemphigoid gestationis,Circulating antibodies to BP-180 (type XVII collagen) (and BP-230),Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Pemphigoid gestationis,C3 at BMZ,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]",Periumbilical and limbs,"Tense, milia as blisters resolve",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]",Periumbilical and limbs,Rare,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Periumbilical and limbs,"Collagen XVII (part of hemi-desmosome, BP-180)",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Periumbilical and limbs,Circulating antibodies to BP-180 (type XVII collagen) (and BP-230),Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Periumbilical and limbs,C3 at BMZ,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]","Tense, milia as blisters resolve",Rare,Has clinical finding,clinical finding/symptoms/disease,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]","Tense, milia as blisters resolve","Collagen XVII (part of hemi-desmosome, BP-180)",Has clinical finding,clinical finding/symptoms/disease,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]","Tense, milia as blisters resolve",Circulating antibodies to BP-180 (type XVII collagen) (and BP-230),Has clinical finding,clinical finding/symptoms/disease,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]","Tense, milia as blisters resolve",C3 at BMZ,Has clinical finding,clinical finding/symptoms/disease,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Rare,"Collagen XVII (part of hemi-desmosome, BP-180)",Has time,qualifiers/symptoms/clinical findings,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Rare,Circulating antibodies to BP-180 (type XVII collagen) (and BP-230),Has time,qualifiers/symptoms/clinical findings,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Rare,C3 at BMZ,Has time,qualifiers/symptoms/clinical findings,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]","Collagen XVII (part of hemi-desmosome, BP-180)",Circulating antibodies to BP-180 (type XVII collagen) (and BP-230),Has positive lab values,substances/proteins/clinical finding/symptoms,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]","Collagen XVII (part of hemi-desmosome, BP-180)",C3 at BMZ,Has positive lab values,substances/proteins/clinical finding/symptoms,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Circulating antibodies to BP-180 (type XVII collagen) (and BP-230),C3 at BMZ,Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Site of blisters""]",Epidermolysis bullosa acquisita,Widespread,Has cause,symptoms/clinical findings/disease/organism,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]",Epidermolysis bullosa acquisita,"Tense, scarring, milia",Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]",Epidermolysis bullosa acquisita,Common (50%),Has cause,symptoms/clinical findings/disease/organism,Has quality,clinical finding/disease/qualifier
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Epidermolysis bullosa acquisita,Type VII collagen,Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Epidermolysis bullosa acquisita,IgG (anti-type VII collagen),Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Epidermolysis bullosa acquisita,IgG at BMZ,Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]",Widespread,"Tense, scarring, milia",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]",Widespread,Common (50%),Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has quality,clinical finding/disease/qualifier
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Widespread,Type VII collagen,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Widespread,IgG (anti-type VII collagen),Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Widespread,IgG at BMZ,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]","Tense, scarring, milia",Common (50%),Has clinical finding,clinical finding/symptoms/disease,Has quality,clinical finding/disease/qualifier
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]","Tense, scarring, milia",Type VII collagen,Has clinical finding,clinical finding/symptoms/disease,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]","Tense, scarring, milia",IgG (anti-type VII collagen),Has clinical finding,clinical finding/symptoms/disease,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]","Tense, scarring, milia",IgG at BMZ,Has clinical finding,clinical finding/symptoms/disease,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Common (50%),Type VII collagen,Has time,qualifiers/symptoms/clinical findings,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Common (50%),IgG (anti-type VII collagen),Has time,qualifiers/symptoms/clinical findings,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Common (50%),IgG at BMZ,Has time,qualifiers/symptoms/clinical findings,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Type VII collagen,IgG (anti-type VII collagen),Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Type VII collagen,IgG at BMZ,Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",IgG (anti-type VII collagen),IgG at BMZ,Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Site of blisters""]",Bullous lupus erythematosus,Widespread,Has cause,symptoms/clinical findings/disease/organism,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]",Bullous lupus erythematosus,Tense,Has cause,symptoms/clinical findings/disease/organism,Has quality,clinical finding/disease/qualifier
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]",Bullous lupus erythematosus,Rare,Has cause,symptoms/clinical findings/disease/organism,Has time,qualifiers/symptoms/clinical findings
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Bullous lupus erythematosus,Type VII collagen,Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Bullous lupus erythematosus,Anti-type VII collagen,Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Bullous lupus erythematosus,"IgG, IgA, IgM at BMZ",Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]",Widespread,Tense,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has quality,clinical finding/disease/qualifier
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]",Widespread,Rare,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has time,qualifiers/symptoms/clinical findings
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Widespread,Type VII collagen,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Widespread,Anti-type VII collagen,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Widespread,"IgG, IgA, IgM at BMZ",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]",Tense,Rare,Has quality,clinical finding/disease/qualifier,Has time,qualifiers/symptoms/clinical findings
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Tense,Type VII collagen,Has quality,clinical finding/disease/qualifier,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Tense,Anti-type VII collagen,Has quality,clinical finding/disease/qualifier,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Tense,"IgG, IgA, IgM at BMZ",Has quality,clinical finding/disease/qualifier,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Rare,Type VII collagen,Has time,qualifiers/symptoms/clinical findings,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Rare,Anti-type VII collagen,Has time,qualifiers/symptoms/clinical findings,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Rare,"IgG, IgA, IgM at BMZ",Has time,qualifiers/symptoms/clinical findings,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Type VII collagen,Anti-type VII collagen,Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Type VII collagen,"IgG, IgA, IgM at BMZ",Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Anti-type VII collagen,"IgG, IgA, IgM at BMZ",Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0080,Drug-induced pigmentation,"[""Appearance""]",Amiodarone,"Photo-exposed sites, slate-grey",,,,
t0080,Drug-induced pigmentation,"[""Appearance""]",Arsenic,Diffuse bronze pigmentationRaindrop depigmentation,,,,
t0080,Drug-induced pigmentation,"[""Appearance""]",Bleomycin,"Usually flexural, brown",,,,
t0080,Drug-induced pigmentation,"[""Appearance""]",Busulfan,Diffuse brown,,,,
t0080,Drug-induced pigmentation,"[""Appearance""]",Chloroquine,"Photo-exposed sites, blue-grey",,,,
t0080,Drug-induced pigmentation,"[""Appearance""]",Clofazimine,Red,,,,
t0080,Drug-induced pigmentation,"[""Appearance""]",Mepacrine,Yellow,,,,
t0080,Drug-induced pigmentation,"[""Appearance""]",Minocycline,"Temples, shins, gingiva, sclera, scar sites, slate-grey",,,,
t0080,Drug-induced pigmentation,"[""Appearance""]",Phenothiazines,"Photo-exposed sites, slate-grey",,,,
t0080,Drug-induced pigmentation,"[""Appearance""]",Psoralens,"Photo-exposed sites, brown",,,,
t0085,Classification and causes of alopecia,Classification and causes of alopecia,Non-scarring,"Tinea capitisAlopecia areataAndrogenetic alopeciaTraumatic (trichotillomania, traction, cosmetic)Syphilis",Has morphology,symptoms/clinical findings/qualifier,Has cause,symptoms/clinical findings/disease/organism
t0085,Classification and causes of alopecia,Classification and causes of alopecia,Non-scarring,"Androgenetic alopeciaTelogen effluviumHypothyroidismHyperthyroidismHypopituitarismDiabetes mellitusHIV diseaseNutritional (especially iron) deficiencyLiver diseasePost-partumAlopecia areataSyphilisDrug-induced: chemotherapy, retinoids",Has morphology,symptoms/clinical findings/qualifier,Has cause,symptoms/clinical findings/disease/organism
t0085,Classification and causes of alopecia,Classification and causes of alopecia,Scarring,Discoid lupus erythematosusLichen planopilarisHerpes zosterPseudopeladeTinea capitis/kerionMorphoea (en coup de sabre)IdiopathicDevelopmental defects,Has morphology,symptoms/clinical findings/qualifier,Has cause,symptoms/clinical findings/disease/organism
